Social Security Number,First Name,Middle Name,Last Name,Suffix,Preferred Name,Display Name,Full Name,Gender,DOB,Age,Marital Status,Date of Marriage,U.S. Citizen,Visa Status,Veteran Status,Military Reserve Status,EEOC,Office,Class,Payroll Group,Division,Department,Business Unit,Benefit Work State,Payroll Work State,Cost Center,Is Collectively Bargained,Job Title,Manager,EEOC Category,Demographic Change Effective Date,Employee ID,Company Name,Payroll ID,Primary Payroll Identifier,Statutory Class,Time Clock ID,Employment Status,Hire Date,Affiliate Hire Date,Original Hire Date,Hired On,Retired,Retired Date,Termination Date,Termination Reason,Terminated On,Annual Review Date,Decision Maker,Is Exempt,Is Full Time,Future Termination Date,Primary Contact,Executive Contact,ACA Classification,Key Employee,Highly Compensated Employee,5%+ Owner,Works Outside U.S.,Leased Employee,Seasonal Employee,Address Type,Address 1,Address 2,Address 3,City,State,County,Zip,Country,Phone (Home),Phone (Personal Cell),Phone (Work/Office Number),Email (Primary),Tobacco User,Tobacco Date,On Wellness Program,Disabled,Medicare Eligible,Medicare Eligible Reason,Medicare Part A Effective Date,Medicare Part B Effective Date,Medicare Part D Effective Date,Height (feet),Height (inches),Weight,Pay Basis,Salary Effective Date,Annual Base Salary,Hourly Rate,Hours per Week,Annual Benefit Salary,Annual Benefit Salary Effective Date,Prior Year W2 Earnings,Salary Review Date,Next Salary Review Date,Pay Frequency,Override Pay Frequency,Ownership Percentage,Employee Compensation Billable,Time Off Package,Username,External Employee Id,HR User,Last Updated,Enrollment Completed,Dependent Sequence Number,
159-19-3654,Brice,,Koppelmann,,,"Koppelmann, Brice",Brice Koppelmann,M,01/01/1950,69,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,06/03/2016,,,06/03/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,bkoppelmann0@flavors.me,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516569,,07/26/2017,,,
217-22-2900,Angel,,Laquort,,,"Laquort, Angel",Angel Laquort,F,09/04/1971,47,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,04/02/2015,1175431,Sample Company,,,,,Active,04/02/2015,,04/02/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Angel_Laquort@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/02/2015,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175431,,06/27/2016,,,
950-27-4747,Hertha,,Laurence,,,"Laurence, Hertha",Hertha Laurence,F,07/31/1966,52,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,08/02/2016,,,08/02/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,hlaurence4@berkeley.edu,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516573,,07/26/2017,,,
362-90-4616,Kamila,,Lawlee,,,"Lawlee, Kamila",Kamila Lawlee,F,11/25/1965,53,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,06/28/2017,,,07/26/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,klawleeq@auda.org.au,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516595,,07/26/2017,,,
876-66-7502,Chic,,MacColl,,,"MacColl, Chic",Chic MacColl,M,07/17/1956,62,Married,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,12/30/2016,,,12/30/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,wparks@vantreo.com,,,,,,,,,,,,,Salary,01/08/2018,"$80,000.00",,,,,,,,,,,No,,mccoby@sample.com,6516583,Yes,01/08/2018,,,
111-15-1235,Chris,,Marincik,,,"Marincik, Chris",Chris Marincik,M,04/12/1979,40,,,,,,,,,Full Time,Full Time,,,,,California,,,,,,,,Sample Company,,,,,Active,08/23/2016,,,08/24/2016,,,,,,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,,Home,,,,,CA,,,,,,,test@tester.com,,,,,,,,,,,,,Hourly,08/24/2016,"$31,200.00",15.00,40.00,,,,,,,,,No,Sample Company Base Time Off Package,,3917942,,08/24/2016,,,
246-53-2879,Jayne,,Mc-Kerley,,,"Mc-Kerley, Jayne",Jayne Mc-Kerley,F,11/22/1977,41,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,02/13/2017,,,02/13/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,jmckerleyh@google.com.hk,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516586,,07/26/2017,,,
217-22-2460,Stacey,,Mobile,,,"Mobile, Stacey",Stacey Mobile,F,10/14/1968,50,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,01/21/2015,1175427,Sample Company,,,,,Active,01/21/2015,,01/21/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Stacey_Mobile@SampleCo.com,No,,No,,,,,,,,,,Hourly,01/21/2015,"$37,440.00",18.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175427,,06/27/2016,,,
213-22-2222,Stevie,,Norman,,,"Norman, Stevie",Stevie Norman,M,01/10/1985,34,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,05/05/2014,1175419,Sample Company,,,,,Active,05/05/2014,,05/05/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Stevie_Norman@SampleCo.com,No,,No,,,,,,,,,,Hourly,05/05/2014,"$29,120.00",14.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175419,,06/27/2016,,,
216-99-9999,Rocky,,Othello,,,"Othello, Rocky",Rocky Othello,M,07/10/1987,31,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,03/15/2014,1175411,Sample Company,,,,,Active,03/15/2014,,03/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Rocky_Othello@SampleCo.com,No,,No,,,,,,,,,,Hourly,03/15/2014,"$41,600.00",20.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175411,,06/27/2016,,,
219-55-5555,Bill,,Overpond,,,"Overpond, Bill",Bill Overpond,M,11/22/1984,34,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,04/15/2014,1175417,Sample Company,,,,,Active,04/15/2014,,04/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Bill_Overpond@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/15/2014,"$35,360.00",17.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175417,,06/27/2016,,,
540-72-2521,Geoff,,Paddle,,,"Paddle, Geoff",Geoff Paddle,M,11/23/1978,40,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,04/14/2017,,,04/14/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,gpaddlel@admin.ch,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516590,,07/26/2017,,,
217-22-1250,Mary Jane,,Peley,,,"Peley, Mary Jane",Mary Jane Peley,F,05/01/1993,25,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,05/24/2014,1175421,Sample Company,,,,,Active,05/24/2014,,05/24/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Mary Jane_Peley@SampleCo.com,No,,No,,,,,,,,,,Hourly,05/24/2014,"$33,280.00",16.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175421,,06/27/2016,,,
217-22-1360,Francis,,Peterson,,,"Peterson, Francis",Francis Peterson,F,04/16/1987,32,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,06/15/2014,1175422,Sample Company,,,,,Active,06/15/2014,,06/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Francis_Peterson@SampleCo.com,No,,No,,,,,,,,,,Hourly,06/15/2014,"$39,520.00",19.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175422,,06/27/2016,,,
841-77-1153,Anestassia,,Prangnell,,,"Prangnell, Anestassia",Anestassia Prangnell,F,05/10/1969,49,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,11/30/2016,,,11/30/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,aprangnellc@yolasite.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516581,,07/26/2017,,,
874-67-2428,Salvidor,,Pyle,,,"Pyle, Salvidor",Salvidor Pyle,M,01/23/1988,31,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,05/29/2017,,,07/26/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,spyleo@gravatar.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516593,,07/26/2017,,,
473-90-7397,Elenore,,Redmain,,,"Redmain, Elenore",Elenore Redmain,F,03/15/1987,32,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,11/15/2016,,,11/15/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,eredmainb@bing.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516580,,07/26/2017,,,
219-77-7779,Sally,,Ride,,,"Ride, Sally",Sally Ride,F,04/22/1991,28,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,03/15/2015,1175396,Sample Company,,,,,Active,08/12/2015,,03/15/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Sally_Ride@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$29,120.00",14.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175396,,06/27/2016,,,
346-60-9880,Wendall,,Riseborough,,,"Riseborough, Wendall",Wendall Riseborough,M,11/07/1991,27,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,03/30/2017,,,03/30/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,wriseboroughk@macromedia.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516589,,07/26/2017,,,
217-22-1910,Amy,,Rose,,,"Rose, Amy",Amy Rose,F,02/04/1978,41,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,10/03/2014,1175425,Sample Company,,,,,Active,10/03/2014,,10/03/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Amy_Rose@SampleCo.com,No,,No,,,,,,,,,,Hourly,10/03/2014,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175425,,06/27/2016,,,
056-16-0235,Demoman,,Sample,,,"Sample, Demoman",Demoman Sample,M,01/12/1959,60,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,08/10/2017,,,01/12/2018,,,12/29/2017,Terminated (Not eligible for COBRA),01/12/2018,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,No,Home,123 fake st,,,santa ros,CA,Calaveras County,95402,United States of America,,,,,,,,,,,,,,,,,Salary,08/10/2017,"$42,652.00",,,,,,,,,,,No,,,7704137,,01/12/2018,,,
012-34-5678,JOe,,Sample,,,"Sample, JOe",JOe Sample,M,01/01/1975,44,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,12/12/2018,,,01/10/2019,,,01/10/2019,Involuntary Termination (18 Months),01/10/2019,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,10970530,,01/10/2019,,,
123-45-5678,Joe,,Sample,,,"Sample, Joe",Joe Sample,M,01/01/1980,39,,,,,,,,,Full Time,Full Time,,,,,California,,,,,,,,Sample Company,,,,,Active,01/01/2019,,,01/22/2019,,,,,,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,11113176,,01/22/2019,,,
123-45-1234,Joe,,Sample,,,"Sample, Joe",Joe Sample,M,01/01/1980,39,,,,,,,,,Full Time,Full Time,,,,,California,,,,,,,,Sample Company,,,,,Active,11/01/2018,,,11/07/2018,,,,,,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,10468960,,11/07/2018,,,
012-45-6789,Joe,,Sample,,,"Sample, Joe",Joe Sample,M,01/01/1980,39,,,,,,,,,Full Time,Full Time,,,,,California,,,,,,,,Sample Company,,,,,Active,01/10/2019,,,01/10/2019,,,,,,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,Hourly,01/10/2019,"$24,960.00",12.00,40.00,,,,,,,,,No,,,10975069,,01/10/2019,,,
111-11-1111,Joe ,,Sample,,,"Sample, Joe ",Joe  Sample,M,01/01/1989,30,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,09/20/2017,,03/04/2017,10/26/2017,,,,,,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6518277,,10/26/2017,,,
217-22-2130,Julia,,Scherzer,,,"Scherzer, Julia",Julia Scherzer,F,07/05/1983,35,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,11/16/2014,1175391,Sample Company,,,,,Active,11/16/2014,,11/16/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Julia_Scherzer@SampleCo.com,No,,No,,,,,,,,,,Hourly,11/16/2014,"$24,960.00",12.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175391,,06/27/2016,,,
718-94-7042,Leia,,Schwier,,,"Schwier, Leia",Leia Schwier,F,06/20/1953,65,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,06/13/2017,,,07/26/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,lschwierp@google.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516594,,07/26/2017,,,
159-00-4621,Claudette,,Sharland,,,"Sharland, Claudette",Claudette Sharland,F,10/07/1984,34,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,10/16/2016,,,10/16/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,csharland9@independent.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516578,,07/26/2017,,,
217-21-5860,Frank,,Shriver,,,"Shriver, Frank",Frank Shriver,M,11/01/1971,47,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,02/02/2010,1175404,Sample Company,,,,,Active,02/02/2010,,02/02/2010,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Frank_Shriver@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/02/2010,"$24,960.00",12.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175404,,06/27/2016,,,
792-14-0784,Melina,,Simonazzi,,,"Simonazzi, Melina",Melina Simonazzi,F,05/16/1987,31,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,07/18/2016,,,07/18/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,msimonazzi3@nature.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516572,,07/26/2017,,,
219-77-7778,Bob,,Smith,,,"Smith, Bob",Bob Smith,M,11/10/1991,27,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,03/02/2015,1175395,Sample Company,,,,,Active,08/12/2015,,03/02/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Bob_Smith@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$22,880.00",11.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175395,,06/27/2016,,,
123-45-6789,John,,Smith,,,"Smith, John",John Smith,M,01/01/1980,39,Married,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,08/17/2017,,,08/17/2017,,,08/17/2017,Voluntary Termination (18 months),08/17/2017,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,,Home,100 Stony Point Rd,,,Santa Rosa,CA,,95401,,,,,,,,,,,,,,,,,,Salary,08/17/2017,"$60,000.00",,,,,,,,,,,No,,,6635343,,08/17/2017,08/17/2017,,
555-55-5555,Johnny,,Smith,,,"Smith, Johnny",Johnny Smith,M,06/13/1982,36,Single,,Yes,,,,,San Francisco,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,08/01/2017,1346259,Sample Company,,,,,Active,09/23/2015,,09/22/2015,09/22/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Johnny_Smith@SampleCo.com,No,,No,,,,,,,,,,Hourly,09/23/2015,"$16,016.00",11.00,28,,,,,,,,,No,Sample Company Base Time Off Package,,1346259,,09/07/2017,,,
000-00-0001,Mary,,Smith,,,"Smith, Mary",Mary Smith,F,04/12/1997,22,,,,,,,,,Full Time,Full Time,,,,,California,,,,,,,,Sample Company,,,,,Active,04/12/2017,,,04/12/2017,,,,,,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,5965343,,04/12/2017,,,
217-22-3010,Laura,,Sorensen,,,"Sorensen, Laura",Laura Sorensen,F,12/21/1970,48,Married,,Yes,,,,,San Francisco,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,04/02/2015,1175393,Sample Company,,,,,Active,04/02/2015,,04/02/2015,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Laura_Sorensen@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/02/2015,"$22,620.00",15.00,29,,,,,,,,,No,Sample Company Base Time Off Package,,1175393,,06/27/2016,,,
260-86-6965,Roobbie,,Spinelli,,,"Spinelli, Roobbie",Roobbie Spinelli,F,09/06/1970,48,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,03/15/2017,,,03/15/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,rspinellij@histats.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516588,,07/26/2017,,,
217-22-1140,Jane,,Stall,,,"Stall, Jane",Jane Stall,F,09/06/1983,35,Single,,Yes,,,,,San Francisco,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,08/12/2015,1175418,Sample Company,,,,,Active,08/12/2015,,08/12/2015,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Jane_Stall@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$17,472.00",12.00,28,,,,,,,,,No,Sample Company Base Time Off Package,,1175418,,06/27/2016,,,
217-22-2680,Paige,,Stevenson,,,"Stevenson, Paige",Paige Stevenson,F,07/14/1965,53,Married,,Yes,,,,,San Francisco,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,03/06/2015,1175429,Sample Company,,,,,Active,03/06/2015,,03/06/2015,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Paige_Stevenson@SampleCo.com,No,,No,,,,,,,,,,Hourly,03/06/2015,"$17,576.00",13.00,26,,,,,,,,,No,Sample Company Base Time Off Package,,1175429,,06/27/2016,,,
219-44-4444,Mike,,Stratton,,,"Stratton, Mike",Mike Stratton,M,02/07/1967,52,Single,,Yes,,,,,San Francisco,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,04/15/2014,1175416,Sample Company,,,,,Active,04/15/2014,,04/15/2014,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Mission St,,,San Francisco,CA,San Francisco County,94105,United States of America,(707) 546-2300,,,Mike_Stratton@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/15/2014,"$15,600.00",12.00,25,,,,,,,,,No,Sample Company Base Time Off Package,,1175416,,06/27/2016,,,
123-45-6845,Jose,,Thander,,,"Thander, Jose",Jose Thander,M,01/01/1987,32,Married,,,,,,,Santa Rosa,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,,1175386,Sample Company,,,,,Active,02/15/2014,,02/15/2014,02/15/2014,No,,,,,,,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Jose_Thander@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/15/2014,"$27,664.00",19.00,28,,,,,,,,,No,Sample Company Base Time Off Package,,3614823,,06/27/2016,,,
181-88-1818,Heather,,Thomas,,,"Thomas, Heather",Heather Thomas,F,09/02/1980,38,Single,,Yes,,,,,Santa Rosa,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,09/21/2015,1175604,Sample Company,,,,,Active,09/22/2015,,09/21/2015,09/22/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Heather_Thomas@SampleCo.com,No,,No,,,,,,,,,,Hourly,09/22/2015,"$21,060.00",15.00,27,,,,,,,,,No,Sample Company Base Time Off Package,,1346263,,06/27/2016,,,
217-22-2350,Melinda,,Thompson,,,"Thompson, Melinda",Melinda Thompson,F,01/01/1980,39,Married,,Yes,,,,,Santa Rosa,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,12/30/2014,1175652,Sample Company,,,,,Active,12/30/2014,,12/30/2014,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Melinda_Thompson@SampleCo.com,No,,No,,,,,,,,,,Hourly,12/30/2014,"$22,620.00",15.00,29,,,,,,,,,No,Sample Company Base Time Off Package,,1175426,,06/27/2016,,,
123-45-6847,Adam,,Underhill,,,"Underhill, Adam",Adam Underhill,M,09/23/1968,50,Single,,Yes,,,,,Santa Rosa,Full Time,Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,12/30/2014,1175426,Sample Company,,,,,Active,12/30/2014,,12/30/2014,12/30/2014,No,,,,,,,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Adam_Underhill@SampleCo.com,No,,No,,,,,,,,,,Hourly,12/30/2014,"$22,620.00",15.00,29,,,,,,,,,No,Sample Company Base Time Off Package,,3614824,,02/17/2017,,,
435-97-6085,Innis,,Vaisey,,,"Vaisey, Innis",Innis Vaisey,M,07/02/1967,51,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,10/01/2016,,,10/01/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,ivaisey8@indiatimes.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516577,,07/26/2017,,,
123-45-6848,Patrick,,Vale,,,"Vale, Patrick",Patrick Vale,M,01/01/1987,32,Married,,,,,,,Santa Rosa,Part Time (Eligible),Part Time (Eligible),,Customer Service,,,,,No,Customer Service,"Adams,Amy",,,1175397,Sample Company,,,,,Active,08/12/2015,,01/15/2015,01/15/2015,No,,,,,,,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Patrick_Vale@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$16,848.00",12.00,27,,,,,,,,,No,Sample Company Base Time Off Package,,3614825,,06/27/2016,,,
219-77-7780,Jasmine,,Valencia,,,"Valencia, Jasmine",Jasmine Valencia,F,01/01/1982,37,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Customer Service,,,,,No,Customer Service,"Adams,Amy",,08/12/2015,1175631,Sample Company,,,,,Active,08/12/2015,,01/15/2015,08/12/2015,No,,,,,,No,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Jasmine_Valencia@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$16,848.00",12.00,27,,,,,,,,,No,Sample Company Base Time Off Package,,1175397,,06/28/2016,,,
